4092 3928 5701 
4784 2389 5594 
3997 5681 8182 
4659 7625 8574 
4114 2762 528 
5744 8424 1462 
4671 7185 7133 
5166 1915 7365 
5140 6809 62 
4562 1691 7893 
4664 3219 254 
5716 5701 118 
6206 7989 3463 
3866 3499 3373 
4534 7456 5721 
4867 4884 1215 
4809 1117 2521 
3881 6521 4287 
6184 1441 8434 
4163 1628 4723 
5608 5793 2039 
5711 7204 4693 
5034 1419 6601 
4475 6292 4039 
6743 5125 3559 
4510 640 3360 
4315 4040 2154 
8779 8544 8513 
4692 5340 6003 
4892 4066 6287 
6028 4326 2211 
4718 6248 3947 
5792 6911 3223 
5171 2686 3150 
4111 1780 6744 
1318 7089 5419 
5771 6091 3428 
4575 4098 6207 
4934 4516 1773 
4217 4465 730 
5806 143 6784 
4711 2050 1737 
4961 716 6878 
4078 2113 7042 
2912 8091 7811 
5054 7805 4088 
6205 7851 2665 
5165 2216 8287 
2074 2751 8050 
4268 1644 3147 
2007 6103 5965 
3880 5728 4261 
4488 4112 4570 
3989 2213 943 
4915 6023 2920 
4033 7025 5088 
6086 7171 5320 
5437 3540 1490 
5707 7261 4438 
4556 5497 7382 
5996 6951 6943 
5574 2707 679 
6257 4819 5357 
5306 7793 7224 
4656 2057 278 
5518 1249 7957 
4630 1127 7441 
4584 5163 1521 
6006 1380 6661 
3994 4389 5342 
5305 1308 6917 
5470 7050 6955 
4938 6050 6322 
4652 5354 2142 
6009 8015 5174 
6108 5537 4479 
4504 3445 6472 
4721 7812 2932 
4806 2731 8431 
3998 904 5467 
3996 3082 7873 
5578 1478 3743 
5904 418 5138 
4589 4880 1533 
4034 3507 6642 
6258 7447 6569 
3487 5266 7095 
8828 6875 1947 
4922 302 5078 
4878 4226 4904 
1264 1496 2194 
3425 6695 4725 
5390 6082 7201 
4707 4332 2100 
6100 6134 5315 
4133 4108 4671 
5773 1004 917 
4595 674 4514 
4302 8450 7927 
6214 7496 6611 
4118 6642 8894 
4289 6150 2801 
7767 1890 6134 
5669 6253 2705 
1899 3883 6445 
4203 4562 7495 
3186 6033 1019 
4127 4132 4042 
5175 6082 6601 
5397 1516 2837 
5104 7268 1615 
5667 3531 5696 
4889 7371 4836 
5978 1870 7177 
4211 7727 5989 
4951 4930 4974 
5401 5802 4101 
5697 7221 2700 
4230 4860 3571 
4374 4395 765 
6143 8459 4731 
5710 7037 5093 
4696 2550 562 
5120 5197 3519 
6558 1168 6543 
4836 3511 2728 
4351 8386 4579 
3074 4824 3858 
5024 1043 3871 
4644 3492 8054 
5156 4717 5994 
4408 4066 4984 
4517 5840 2362 
4189 7161 228 
5108 5097 5648 
5207 7024 7619 
5209 1676 6256 
4799 4298 5755 
4150 430 3399 
6193 5040 3863 
4559 3032 7425 
4804 5631 5434 
5652 4865 4017 
4253 2035 3435 
8977 8244 7414 
5503 4429 2243 
4054 3914 1381 
4122 8944 765 
5317 571 4462 
3943 735 3190 
4965 6845 1163 
6083 1915 6343 
3973 5419 5412 
5062 8082 8154 
1860 3875 6430 
4716 1733 6623 
4105 1107 3306 
3931 4668 4514 
6200 1041 6263 
4924 1864 4905 
5226 4487 8537 
5119 7937 4039 
885 7717 967 
6255 1041 1046 
5553 5391 4355 
6097 2116 4355 
5070 4712 4733 
4322 4311 7328 
4843 3024 4865 
4340 5162 458 
4920 5168 4145 
5149 4448 1724 
3952 2096 4431 
5709 8627 3452 
5676 860 7140 
6008 2702 4407 
4379 4383 4008 
4259 8576 6761 
4453 3345 4051 
4555 1150 4609 
4772 4761 4753 
4102 119 4618 
6113 6665 2171 
5436 5776 8973 
4161 2747 6779 
3428 5310 3393 
2928 4536 1182 
5828 8698 3771 
5655 8468 3187 
5722 3998 6070 
4770 619 1205 
4791 1502 7668 
5356 2318 5889 
4962 2998 3929 
5619 2271 6829 
4337 5016 5909 
4688 4290 8458 
4827 4212 4448 
5613 3403 1644 
7487 1503 7984 
4567 4465 4305 
4172 3160 2368 
4744 3940 5895 
6203 5534 5178 
4535 1679 4433 
4381 8414 4110 
7478 3114 4257 
2846 1490 3947 
4810 4444 3015 
5603 3375 6960 
4428 5873 8134 
4433 1108 1888 
5042 6171 1556 
1401 6671 4898 
6192 4849 3608 
4976 7540 4588 
4669 8529 4127 
4937 5662 1042 
5554 6877 6039 
4021 3145 3160 
5012 2172 1203 
4898 4208 3448 
4185 4987 3888 
4901 6255 1754 
5316 5482 2684 
4056 6419 1750 
4583 7912 7160 
5986 8138 5351 
5168 1740 3429 
6035 4124 1156 
2082 4616 4813 
5492 3407 7825 
287 6280 6576 
5317 7755 370 
4969 4935 55 
7631 7583 1022 
4658 4164 5222 
4959 4972 3338 
4950 4998 4990 
8133 8326 8524 
467 7653 764 
2476 82 7004 
4099 6923 3041 
5052 3795 3478 
4844 3117 4321 
5297 1212 2036 
4197 724 5105 
4314 3479 3983 
7069 377 4766 
4579 7748 4351 
4749 1807 633 
7095 3041 7432 
970 6976 58 
4641 4032 3604 
3150 4500 741 
4871 5509 7167 
4715 1441 3100 
4516 5247 8301 
5490 2770 1193 
6077 5102 3238 
5649 595 2609 
5523 4678 4709 
5143 4654 6292 
8098 8563 2846 
5800 717 1437 
6087 483 7943 
4420 3618 6988 
5505 7028 6902 
4853 7765 6495 
4769 8234 4780 
4053 1705 7720 
4258 3697 5548 
6260 6519 1189 
5751 3732 6855 
